Time (sec),Calculated Load (g/rev),CL Fuel Target (AFR),Comm Fuel Final (AFR),Dyn. Adv. Mult (DAM),Feedback Knock (°),Fine Knock Learn (°),Fuel Pressure (psi),Fuel Pressure Target (psi),Gear Position (Gear),Intake Temp Manifold (F),MAF Corr. (g/s),Boost (psi),Oil Temp (F),Req. Torque (Nm),TD Boost Error (psi),TGV Map Ratio (mult),AF Correction 1 (%),AF Learning 1 (%),AF Sens 1 Ratio (AFR),Accel. Position (%),Baro. Pressure (psi),Coolant Temp (F),Ignition Timing (°),Inj. Duty Cycle (%),Intake Temp (F),MAF Volt. (V),RPM (RPM),Throttle Pos. (%),Wastegate Duty (%),AP Info:[AP3-SUB-004 v1.7.3.0-17285][2019 USDM WRX MT COBB Custom Features][Reflash: Stage1+BigSF 91 v302.ptm - Realtime: Stage1+BigSF 91 v302.ptm]
0.000,0.59,14.65,14.70,1.000,0.00,0.00,1043,1155,3,117,26.36,-2.55,200,141.49,1.79,0.000,9.38,3.12,14.94,20.8,14.07,190,24.00,2.81,72,2.06,2635,21.6,0.00,0
0.049,0.65,14.65,14.70,1.000,0.00,0.00,1214,1261,3,117,28.86,-1.73,200,161.19,2.56,0.000,9.38,3.12,14.95,23.1,14.07,190,21.50,3.38,72,2.08,2643,22.7,0.00,0
0.105,0.67,14.65,14.70,1.000,0.00,0.00,1301,1314,3,117,30.00,-1.36,200,202.45,4.45,0.000,10.16,3.12,15.02,27.8,14.07,190,20.50,3.38,72,2.04,2645,23.5,0.00,0
0.160,0.75,14.65,14.70,1.000,0.00,0.00,1350,1473,3,117,33.73,-0.30,200,233.14,6.09,0.040,10.94,3.12,15.21,32.5,14.07,190,21.00,3.39,72,2.24,2654,30.6,7.84,0
0.230,0.80,14.64,14.64,1.000,0.00,0.00,1496,1526,3,117,36.05,-0.18,199,249.76,7.23,0.227,12.50,3.12,15.57,36.9,14.07,190,14.00,3.99,72,2.26,2670,29.8,14.51,0
0.301,0.89,14.62,14.64,1.000,0.00,0.00,1488,1646,3,117,40.07,-0.20,199,257.20,8.07,0.629,12.50,3.12,14.93,38.8,14.07,190,14.50,3.99,72,2.34,2666,32.9,18.04,0
0.374,0.98,14.61,14.64,1.000,0.00,0.00,1617,1752,3,115,44.77,0.68,199,267.55,7.98,0.813,10.94,3.12,14.74,43.1,14.07,190,16.00,4.57,72,2.40,2692,40.0,20.78,0
0.466,1.06,14.62,14.59,1.000,0.00,0.00,1713,1818,3,115,48.33,1.68,199,273.74,7.63,0.893,12.50,3.12,15.29,47.1,14.07,190,13.50,5.19,72,2.48,2704,44.7,23.14,0
0.522,1.12,14.31,14.31,1.000,0.00,0.00,1748,1818,3,115,51.38,1.88,199,278.09,8.02,0.963,14.84,3.12,15.01,49.4,14.07,190,13.50,5.80,70,2.64,2720,47.8,24.71,0
0.588,1.19,14.31,14.31,1.000,0.00,0.00,1718,1818,3,113,54.89,2.31,200,283.88,7.69,1.000,14.84,3.12,14.71,52.9,14.07,190,13.00,5.81,70,2.52,2730,49.4,25.10,0
0.653,1.22,14.31,14.31,1.000,-1.41,0.00,1805,1871,3,113,55.87,2.98,200,289.33,7.75,1.000,13.28,3.12,14.48,56.1,14.07,190,11.00,6.42,70,2.60,2741,50.6,27.84,0
0.729,1.29,14.31,14.31,1.000,-1.41,0.00,1832,1871,3,111,59.85,3.40,200,295.23,7.82,1.000,13.28,3.12,14.41,59.6,14.07,190,9.50,6.46,70,2.78,2763,81.6,29.80,0
0.790,1.37,14.20,14.15,1.000,-1.41,0.00,1973,1871,3,111,63.66,4.61,200,298.14,7.41,1.000,13.28,3.12,14.38,61.2,14.07,190,9.50,6.51,70,2.78,2793,99.6,30.20,0
0.860,1.44,14.10,14.09,1.000,-1.41,0.00,1957,1871,3,109,68.83,4.82,200,299.10,6.95,1.000,14.84,3.12,14.26,62.0,14.07,190,7.00,7.17,70,2.80,2797,99.6,30.59,0
0.949,1.55,13.96,13.94,1.000,-1.41,0.00,1980,1871,3,108,72.97,5.84,199,299.46,6.29,1.000,14.84,3.12,13.99,62.0,14.07,190,5.00,8.39,70,2.84,2816,99.6,30.98,0
1.006,1.64,13.35,13.34,1.000,-1.41,0.00,1979,1871,3,108,79.99,6.58,199,299.26,5.47,1.000,15.62,3.12,13.56,62.0,14.07,190,4.00,9.17,70,2.94,2881,99.6,30.59,0
1.071,1.71,13.05,12.98,1.000,-1.41,0.00,1949,1871,3,106,83.17,6.87,199,299.21,5.22,1.000,15.62,3.91,13.15,62.0,14.07,190,3.50,9.83,70,3.04,2870,99.6,30.20,0
1.164,1.82,12.69,12.63,1.000,-1.41,0.00,1994,1871,3,106,90.73,8.45,199,299.15,3.81,1.000,14.84,4.69,12.35,62.0,14.07,190,3.00,11.58,70,3.00,2885,99.6,30.59,0
1.225,2.00,12.50,12.42,1.000,-1.41,0.00,1991,1871,3,104,99.54,9.37,200,299.62,2.92,1.000,11.72,3.91,11.84,62.4,14.07,190,2.00,11.87,70,3.06,2942,99.6,30.20,0
1.280,2.06,12.24,12.22,1.000,-1.41,0.00,1897,1871,3,104,100.92,10.03,200,299.66,2.26,1.000,10.94,3.12,11.73,62.4,14.07,190,1.00,12.54,70,3.18,2934,99.6,30.20,0
1.358,2.06,12.20,12.10,1.000,-1.41,0.00,1838,1938,3,104,106.33,10.62,200,299.06,1.92,1.000,10.94,3.91,11.78,62.4,14.07,190,0.50,13.36,70,3.28,2994,99.6,29.80,0
1.413,2.16,11.98,11.98,1.000,-1.41,0.00,2022,1991,3,102,109.23,11.34,200,299.12,1.32,1.000,10.94,3.91,11.60,62.4,14.07,190,1.00,14.10,70,3.32,3003,99.6,29.41,0
1.478,2.21,11.87,11.87,1.000,-1.41,0.00,1908,1991,3,102,111.60,12.02,200,298.98,0.66,1.000,10.16,5.47,11.49,62.4,14.07,190,0.00,14.75,70,3.36,3012,99.6,29.41,0
1.533,2.25,11.82,11.80,1.000,-1.41,0.00,2122,2057,3,102,115.23,12.94,200,299.02,-0.10,1.000,8.59,6.25,11.11,62.4,14.07,190,0.00,14.88,70,3.40,3072,99.6,29.41,0
1.581,2.29,11.74,11.69,1.000,-1.41,0.00,2189,2057,3,100,119.94,13.64,200,298.85,-0.85,1.000,7.81,7.81,11.32,62.4,14.07,190,0.00,15.79,70,3.36,3085,99.6,29.02,0
1.666,2.30,11.66,11.61,1.000,-1.05,0.00,2092,2110,3,100,121.29,14.20,200,298.66,-1.51,1.000,7.81,7.81,11.13,62.4,14.07,190,0.50,16.46,70,3.32,3104,99.6,29.02,0
1.715,2.31,11.66,11.58,1.000,-1.05,0.00,2128,2110,3,100,122.89,13.69,200,298.69,-0.94,1.000,7.03,7.81,10.96,62.4,14.07,190,-0.50,15.94,70,3.30,3122,99.6,28.63,0
1.776,2.34,11.63,11.61,1.000,-1.05,0.00,2212,2110,3,99,124.00,13.65,200,298.14,-0.75,1.000,6.25,7.81,11.32,62.4,14.07,190,0.50,16.12,70,3.32,3168,99.6,28.63,0
1.838,2.33,11.63,11.61,1.000,-1.05,0.00,2053,2110,3,99,123.32,14.59,200,297.75,-1.66,1.000,7.03,7.81,11.03,62.0,14.07,190,0.00,16.28,70,3.34,3182,99.6,28.24,0
1.895,2.30,11.68,11.58,1.000,-1.05,0.00,2054,2110,3,97,122.45,13.61,200,297.91,-1.14,1.000,5.47,7.81,11.25,62.4,14.07,190,-1.00,16.25,70,3.32,3193,99.6,28.24,0
1.950,2.25,11.75,11.72,1.000,-1.05,0.00,2218,2123,3,97,123.17,13.67,200,297.68,-0.44,1.000,4.69,7.81,11.15,62.4,14.07,190,-0.50,15.87,70,3.42,3243,99.6,27.84,0
2.032,2.33,11.82,11.80,1.000,-1.05,0.00,2231,2176,3,95,127.72,13.74,200,297.24,-0.91,1.000,2.34,7.81,11.11,62.0,14.07,190,1.00,16.05,70,3.28,3272,99.6,27.84,0
2.086,2.25,11.82,11.80,1.000,-1.05,0.00,2262,2163,3,95,122.52,13.70,200,297.14,-0.28,1.000,3.12,7.81,11.26,62.0,14.07,190,0.50,16.07,70,3.40,3272,99.6,27.84,0
2.148,2.20,11.77,11.69,1.000,-1.05,0.00,2126,2110,3,93,121.90,12.61,200,296.90,-0.52,1.000,3.12,7.81,11.41,62.0,14.07,190,0.50,14.87,70,3.36,3319,99.6,27.84,0
2.202,2.24,11.89,11.80,1.000,-1.05,0.00,2142,2110,3,93,124.53,13.27,200,296.70,-0.84,1.000,2.34,7.81,11.33,62.0,14.07,190,0.50,15.66,70,3.36,3347,99.6,27.45,0
2.269,2.19,11.88,11.76,1.000,-1.05,0.00,2175,2110,3,91,126.58,13.29,200,296.39,-0.72,1.000,2.34,7.81,11.31,62.0,14.07,190,1.00,15.76,70,3.40,3358,99.6,27.45,0
2.328,2.19,11.84,11.76,1.000,-1.05,0.00,2219,2110,3,91,126.16,12.26,200,296.18,-0.06,1.000,1.56,7.81,11.55,62.0,14.07,190,0.50,15.82,70,3.30,3387,99.6,27.45,0
2.382,2.24,11.92,11.80,1.000,-1.05,0.00,2175,2110,3,91,127.47,12.79,200,295.93,-0.46,1.000,0.78,7.81,11.46,62.0,14.07,190,1.00,15.33,70,3.38,3421,99.6,27.45,0
2.459,2.17,11.90,11.72,1.000,-1.05,0.00,2183,2110,3,90,127.84,12.72,200,295.56,-0.34,1.000,1.56,7.81,11.64,62.0,14.07,190,1.00,16.15,70,3.36,3444,99.6,27.45,0
2.518,2.17,11.90,11.72,1.000,-1.05,0.00,2132,2110,3,90,127.60,12.93,200,295.65,-0.55,1.000,0.78,7.81,11.48,62.0,14.07,190,1.00,16.18,68,3.32,3459,99.6,27.06,0
2.583,2.19,11.89,11.72,1.000,-1.05,0.00,2121,2110,3,90,128.22,12.85,200,295.30,-0.69,1.000,1.56,7.81,11.68,62.0,14.07,190,1.50,16.46,68,3.38,3507,99.6,26.67,0
2.643,2.16,11.87,11.69,1.000,-0.35,0.00,2108,2110,3,90,127.91,12.30,200,295.45,-0.60,1.000,-0.78,7.81,11.55,62.0,14.07,190,2.50,16.48,68,3.34,3516,99.6,26.67,0
2.708,2.20,11.93,11.80,1.000,-0.35,0.00,2124,2163,3,88,131.29,12.30,200,294.91,-0.66,1.000,-0.78,7.81,11.58,62.0,14.07,190,2.50,15.94,68,3.42,3559,99.6,26.67,0
2.766,2.15,11.82,11.65,1.000,-0.35,0.00,2158,2163,3,88,130.24,12.83,200,294.76,-0.48,1.000,0.00,7.81,11.69,62.0,14.07,190,2.50,16.00,68,3.40,3579,99.6,26.67,0
2.821,2.16,11.90,11.72,1.000,-0.35,0.00,2178,2163,3,88,129.35,12.94,200,294.50,-0.22,1.000,-1.56,7.81,11.56,62.0,14.07,190,2.50,16.08,68,3.38,3589,99.6,26.67,0
2.896,2.17,11.88,11.65,1.000,-0.35,0.00,2191,2163,3,88,131.33,13.19,200,294.20,-0.89,1.000,-1.56,7.81,11.73,62.0,14.07,190,2.00,16.25,68,3.52,3629,99.6,26.27,0
2.954,2.17,11.87,11.72,1.000,-0.35,0.00,2126,2163,3,86,133.42,12.24,200,293.89,-0.18,1.000,-1.56,7.81,11.71,62.0,14.07,190,2.50,17.13,68,3.42,3655,99.6,26.27,0
3.012,2.16,11.89,11.76,1.000,-0.35,0.00,2161,2163,3,86,132.10,12.83,200,293.76,-0.79,1.000,-2.34,7.81,11.57,62.0,14.07,190,2.50,16.44,68,3.38,3672,99.6,26.27,0
3.094,2.19,11.91,11.76,1.000,-0.35,0.00,2138,2163,3,86,133.10,13.35,200,293.33,-1.07,1.000,-1.56,7.81,11.70,61.6,14.07,190,2.50,16.52,68,3.42,3703,99.6,26.27,0
3.158,2.15,11.90,11.76,1.000,-0.35,0.00,2141,2163,3,86,134.59,12.65,200,293.31,-0.60,1.000,-2.34,7.81,11.75,62.0,14.07,190,2.50,15.93,68,3.46,3735,99.6,26.27,0
3.202,2.19,11.86,11.23,1.000,-0.35,0.00,2242,2163,3,84,137.29,12.67,200,292.77,-1.51,1.000,0.00,7.81,11.90,61.6,14.07,190,2.50,16.83,68,3.50,3762,99.6,26.27,0
3.270,2.15,11.90,11.33,1.000,-0.35,0.00,2132,2163,3,84,137.27,13.26,200,292.80,-1.26,1.000,0.00,7.81,10.96,61.6,14.07,190,2.50,16.90,68,3.48,3774,99.6,25.88,0
3.351,2.17,11.91,11.27,1.000,-0.35,0.00,2245,2163,3,84,137.96,12.67,200,291.99,-0.80,1.000,0.00,7.81,11.20,61.6,14.07,190,3.00,17.94,68,3.42,3822,99.6,25.88,0
3.405,2.13,11.87,11.33,1.000,-0.35,0.00,2224,2163,3,84,137.23,13.00,200,292.05,-1.15,1.000,0.00,7.81,10.90,61.6,14.07,190,3.50,17.21,68,3.44,3844,99.6,25.10,0
3.466,2.09,11.89,11.37,1.000,-0.35,0.00,2084,2163,3,84,137.72,13.10,200,291.77,-1.28,1.000,0.00,7.81,10.96,61.6,14.07,190,3.50,17.25,68,3.46,3852,99.6,25.10,0
3.527,2.16,11.97,11.37,1.000,-0.35,0.00,2151,2163,3,84,137.86,12.94,200,291.62,-0.40,1.000,0.00,7.81,11.12,61.6,14.07,190,4.00,18.24,68,3.46,3901,99.6,25.10,0
3.588,2.15,11.84,11.30,1.000,-0.35,0.00,2116,2163,3,82,140.39,12.75,200,291.75,-0.95,1.000,0.00,7.81,11.18,61.6,14.07,190,4.00,18.39,68,3.52,3918,99.6,25.10,0
3.646,2.15,11.91,11.37,1.000,0.00,0.00,2208,2163,3,82,139.96,12.17,200,291.26,-0.58,1.000,0.00,7.81,11.11,61.6,14.07,190,4.00,17.58,68,3.44,3936,99.6,24.71,0
3.708,2.15,11.89,11.33,1.000,0.00,0.00,2286,2163,3,82,141.88,12.65,200,291.46,-0.85,1.000,0.00,7.81,11.07,61.6,14.07,190,4.50,17.79,68,3.56,3971,99.6,24.71,0
3.762,2.12,11.87,11.37,1.000,0.00,0.00,2227,2163,3,82,140.78,12.80,200,290.99,-0.91,1.000,0.00,7.81,10.98,61.6,14.07,190,4.50,17.86,68,3.48,3989,99.6,24.71,0
3.843,2.16,11.85,11.30,1.000,0.00,0.00,2256,2163,3,82,142.41,12.48,200,290.66,-0.54,1.000,0.00,7.81,11.01,61.6,14.07,190,5.00,17.99,68,3.56,4018,93.7,24.31,0
3.898,2.15,11.86,11.30,1.000,0.00,0.00,2260,2163,3,82,145.72,12.40,200,290.69,-0.66,1.000,0.00,7.81,10.93,61.6,14.07,190,4.50,18.92,68,3.54,4044,90.6,24.31,0
3.959,2.17,11.83,11.23,1.000,0.00,0.00,2198,2163,3,82,148.23,12.51,200,290.44,-1.19,1.000,0.00,7.81,10.91,61.6,14.07,190,5.00,19.10,68,3.60,4079,85.1,24.31,0
4.010,2.16,11.85,11.23,1.000,0.00,0.00,2050,2163,3,82,151.80,12.75,200,290.34,-1.16,1.000,0.00,7.81,10.81,61.6,14.07,190,4.50,19.22,68,3.52,4092,81.6,23.92,0
4.084,2.20,11.83,11.17,1.000,0.00,0.00,2044,2163,3,82,149.70,12.68,200,290.34,-1.31,1.000,0.00,7.81,10.91,61.6,14.07,190,4.50,19.30,68,3.54,4110,81.2,23.53,0
4.148,2.16,11.78,11.20,1.000,0.00,0.00,2061,2163,3,82,151.64,12.31,200,289.83,-1.39,1.000,0.00,7.81,10.81,61.6,14.07,190,4.50,20.35,68,3.60,4148,76.5,23.14,0
4.209,2.21,11.76,11.13,1.000,0.00,0.00,2219,2163,3,82,155.18,12.72,200,289.52,-1.12,1.000,0.00,7.81,10.70,61.6,14.07,190,4.50,19.55,68,3.62,4172,75.7,23.14,0
4.260,2.22,11.76,11.10,1.000,0.00,0.00,2230,2163,3,82,157.59,12.70,200,289.69,-1.06,1.000,0.00,7.81,10.58,61.6,14.07,190,4.50,20.60,68,3.66,4198,74.9,23.14,0
4.331,2.25,11.73,11.00,1.000,0.00,0.00,2159,2163,3,82,159.60,12.16,200,289.45,-1.01,1.000,0.00,7.81,10.70,61.6,14.07,190,4.50,20.73,68,3.62,4230,69.0,23.14,0
4.406,2.24,11.73,11.04,1.000,0.00,0.00,2197,2163,3,82,160.06,12.52,200,288.99,-1.34,1.000,0.00,7.81,10.34,61.6,14.07,190,4.00,20.80,68,3.66,4246,67.8,22.35,0
4.461,2.26,11.76,11.04,1.000,0.00,0.00,2053,2163,3,81,162.33,11.92,200,289.14,-0.88,1.000,0.00,7.81,10.41,61.6,14.07,190,4.50,20.96,68,3.62,4273,59.6,23.14,0
4.542,2.24,11.75,11.04,1.000,0.00,0.00,2171,2163,3,81,160.55,11.57,200,288.93,-0.74,1.000,0.00,7.81,10.43,61.6,14.07,190,4.50,21.07,68,3.64,4302,56.9,22.75,0
4.587,2.22,11.76,11.04,1.000,0.00,0.00,2108,2163,3,81,160.04,11.93,200,288.74,-1.04,1.000,0.00,7.81,10.26,61.6,14.07,190,4.50,21.15,68,3.62,4310,58.0,22.35,0
4.646,2.22,11.76,11.04,1.000,0.00,0.00,2191,2163,3,81,160.25,11.46,200,288.75,-0.83,1.000,0.00,7.81,10.45,62.0,14.07,190,5.00,21.30,68,3.66,4354,53.3,22.35,0
4.709,2.21,11.76,11.07,1.000,0.00,0.00,2119,2163,3,81,160.20,10.96,200,288.34,-0.77,1.000,0.00,7.81,10.28,61.6,14.07,190,5.00,21.41,68,3.66,4364,52.5,22.75,0
4.760,2.19,11.80,11.04,1.000,0.00,0.00,2184,2163,3,81,159.39,11.03,200,288.29,-0.50,1.000,0.00,7.81,10.21,61.6,14.07,190,5.00,21.45,68,3.58,4373,51.8,23.14,0
4.841,2.17,11.83,11.04,1.000,0.00,0.00,2121,2163,3,81,160.10,10.41,200,288.34,0.14,1.000,0.00,7.81,10.36,62.0,14.07,190,5.00,20.66,68,3.64,4412,50.6,23.14,0
4.898,2.17,11.83,11.00,1.000,0.00,0.00,2169,2163,3,81,161.29,10.32,200,288.10,0.30,1.000,0.00,7.81,10.17,62.0,14.07,190,5.50,21.80,68,3.60,4443,52.2,23.14,0
4.957,2.16,11.85,11.00,1.000,0.00,0.00,2174,2163,3,82,159.52,10.72,200,287.98,-0.11,1.000,0.00,7.81,10.14,61.6,14.07,190,6.00,21.80,68,3.64,4447,52.5,23.14,0
5.018,2.15,11.86,11.07,1.000,0.00,0.00,2218,2163,3,82,160.48,11.00,200,287.80,-0.40,1.000,0.00,7.81,10.23,61.6,14.07,190,6.00,21.83,68,3.70,4479,52.2,23.14,0
5.064,2.16,11.85,11.04,1.000,0.00,0.00,2117,2163,3,82,163.82,11.07,200,287.44,-0.49,1.000,0.00,7.81,10.22,61.6,14.07,190,6.00,21.14,68,3.66,4505,53.7,22.75,0
5.124,2.15,11.85,11.10,1.000,0.00,0.00,2162,2163,3,82,162.96,11.09,200,287.25,-0.52,1.000,0.00,7.81,10.27,61.6,14.07,190,5.50,22.13,68,3.70,4514,53.7,22.35,0
5.182,2.17,11.83,11.07,1.000,0.00,0.00,2198,2163,3,82,164.13,11.13,200,287.36,-0.38,1.000,0.00,7.81,10.23,61.6,14.07,190,5.50,22.23,68,3.66,4531,54.5,22.35,0
5.253,2.15,11.86,11.07,1.000,0.00,0.00,2128,2163,3,82,163.40,10.24,200,287.41,-0.37,1.000,0.00,7.81,10.16,62.0,14.07,190,6.00,22.28,68,3.66,4557,54.5,22.35,0
5.324,2.15,11.83,11.10,1.000,0.00,0.00,2266,2163,3,82,164.49,10.48,200,287.46,0.09,1.000,0.00,7.81,10.19,62.0,14.07,190,6.00,22.49,68,3.70,4593,55.3,22.35,0
5.383,2.16,11.83,11.07,1.000,0.00,0.00,2211,2163,3,82,165.93,11.26,200,287.50,-0.64,1.000,0.00,7.81,10.23,62.0,14.07,190,6.00,22.59,68,3.68,4604,57.6,21.96,0
5.454,2.16,11.86,11.10,1.000,0.00,0.00,2185,2163,3,82,166.90,10.52,200,287.12,0.09,1.000,0.00,7.81,10.16,62.0,14.07,190,5.50,22.60,68,3.70,4632,56.5,21.96,0
5.519,2.15,11.88,11.13,1.000,0.00,0.00,2158,2163,3,82,167.47,11.34,200,286.49,-0.59,1.000,0.00,7.81,10.28,61.6,14.07,190,5.50,22.87,68,3.64,4659,58.4,21.57,0
5.570,2.17,11.85,11.10,1.000,0.00,0.00,2200,2163,3,82,169.06,10.78,200,286.41,-0.17,1.000,0.00,7.81,10.35,61.6,14.07,190,6.00,22.85,68,3.70,4657,57.3,21.57,0
5.651,2.15,11.85,11.10,1.000,0.00,0.00,2159,2163,3,82,169.71,10.48,200,286.20,0.06,1.000,0.00,7.81,10.34,62.0,14.07,190,6.00,21.97,68,3.70,4704,58.4,21.18,0
5.705,2.17,11.86,11.10,1.000,0.00,0.00,2096,2163,3,82,171.90,11.27,200,286.06,-0.54,1.000,0.00,7.81,10.39,61.6,14.07,190,6.00,22.17,68,3.76,4723,58.8,21.57,0
5.766,2.16,11.85,11.10,1.000,0.00,0.00,2133,2163,3,82,171.42,10.42,200,285.61,-0.77,1.000,0.00,7.81,10.19,61.6,14.07,190,6.00,23.16,68,3.72,4725,59.2,21.57,0
5.821,2.17,11.81,11.10,1.000,0.00,0.00,2134,2163,3,82,172.36,11.39,200,285.43,-0.68,1.000,0.00,7.81,10.31,61.6,14.07,190,5.50,23.36,68,3.74,4761,60.0,21.18,0
5.902,2.16,11.85,11.13,1.000,0.00,0.00,2274,2163,3,82,172.92,10.91,200,285.14,-0.44,1.000,0.00,7.81,10.27,61.6,14.07,190,6.00,22.46,68,3.72,4781,60.4,21.18,0
5.956,2.15,11.88,11.17,1.000,0.00,0.00,2229,2163,3,82,172.09,10.52,200,285.09,-0.06,1.000,0.00,7.81,10.32,61.6,14.07,190,6.00,22.47,68,3.74,4795,59.2,20.78,0
6.017,2.13,11.88,11.17,1.000,0.00,0.00,2195,2163,3,82,172.59,11.26,201,285.01,-0.68,1.000,0.00,6.25,10.37,61.6,14.07,190,6.50,22.55,68,3.74,4837,61.2,20.78,0
6.074,2.11,11.93,11.20,1.000,0.00,0.00,2054,2163,3,82,171.12,11.18,201,284.94,-0.74,1.000,0.00,3.12,10.61,61.6,14.07,190,6.50,21.73,68,3.66,4845,60.8,21.18,0
6.135,2.13,11.89,11.23,1.000,0.00,0.00,2278,2163,3,82,173.66,10.30,201,284.85,-0.59,1.000,0.00,2.34,10.89,61.6,14.07,190,6.50,21.75,68,3.72,4862,60.0,21.18,0
6.197,2.13,11.84,11.17,1.000,0.00,0.00,2161,2163,3,82,174.61,10.22,201,284.61,-0.25,1.000,0.00,0.78,11.00,61.6,14.07,190,6.50,20.79,68,3.76,4896,63.5,21.18,0
6.258,2.15,11.88,11.17,1.000,0.00,0.00,2101,2163,3,84,176.61,10.99,201,284.36,0.07,1.000,0.00,0.00,11.00,61.6,14.07,190,6.00,21.99,68,3.74,4921,65.1,20.39,0
6.318,2.15,11.83,11.17,1.000,0.00,0.00,2247,2163,3,84,176.50,10.56,201,284.09,0.07,1.000,0.00,0.00,11.14,61.6,14.07,190,6.00,21.00,68,3.80,4926,66.3,20.39,0
6.378,2.13,11.89,11.20,1.000,0.00,0.00,2126,2163,3,84,177.08,11.18,201,283.83,-0.92,1.000,0.00,0.00,11.17,61.6,14.07,192,6.50,21.06,68,3.78,4955,67.1,20.00,0
6.438,2.15,11.86,11.17,1.000,0.00,0.00,2134,2163,3,84,178.31,11.10,201,283.86,-0.85,1.000,0.00,0.00,11.23,61.6,14.07,192,6.00,21.21,68,3.78,4979,71.0,19.61,0
6.497,2.17,11.84,11.13,1.000,0.00,0.00,2060,2163,3,84,180.85,11.08,201,283.48,-0.87,1.000,0.00,0.00,11.17,61.6,14.07,192,6.00,21.29,68,3.84,4995,73.7,19.61,0
6.556,2.15,11.86,11.17,1.000,0.00,0.00,2136,2163,3,84,180.35,11.15,201,283.50,-0.96,1.000,0.00,0.00,11.18,61.6,14.07,192,6.50,21.38,68,3.80,5024,76.5,19.22,0
6.615,2.09,11.83,11.20,1.000,0.00,0.00,2044,2163,3,84,176.87,11.36,201,283.49,-1.13,1.000,0.00,0.00,11.10,61.6,14.07,192,6.00,22.57,68,3.82,5056,78.0,20.00,0
6.670,2.16,11.84,11.17,1.000,0.00,0.00,2253,2163,3,84,182.60,11.42,201,283.12,-0.30,1.000,0.00,0.00,11.17,61.6,14.07,192,6.00,21.57,68,3.80,5056,83.1,18.43,0
6.741,2.16,11.89,11.17,1.000,0.00,0.00,2155,2163,3,84,183.80,11.21,201,283.16,-1.00,1.000,0.00,0.00,11.29,61.6,14.07,192,6.50,21.69,68,3.84,5092,91.0,18.82,0
6.821,2.19,11.82,11.13,1.000,0.00,0.00,2226,2163,3,84,186.78,10.79,201,282.76,-0.72,1.000,0.00,0.00,11.20,61.6,14.07,192,6.00,22.85,68,3.82,5123,99.6,18.04,0
6.876,2.17,11.79,11.17,1.000,0.00,0.00,2020,2163,3,84,186.35,11.32,201,282.55,-1.36,1.000,0.00,0.00,11.09,61.6,14.07,192,6.00,22.99,68,3.86,5134,99.6,17.65,0
6.931,2.16,11.84,11.17,1.000,0.00,0.00,2172,2163,3,84,185.98,11.44,201,281.98,-0.45,1.000,0.00,0.00,11.17,61.2,14.07,192,6.00,21.93,68,3.82,5148,85.9,18.43,0
7.002,2.19,11.84,11.13,1.000,0.00,0.00,2165,2163,3,84,188.09,10.40,201,282.06,-1.63,1.000,0.00,0.00,11.13,61.2,14.07,192,6.00,22.06,68,3.84,5194,99.6,17.65,0
7.067,2.13,11.82,11.17,1.000,0.00,0.00,2099,2163,3,84,185.50,10.24,201,281.81,-0.44,1.000,0.00,0.00,11.15,61.6,14.07,192,6.00,23.33,68,3.90,5203,99.6,16.47,0
